site,date,meter,unit,unit_type,length,width,min_width,depth,description
SANONO,25-Jul-18,74.8,NA,riffle,100,90,10,5,
SANONO,25-Jul-18,74.6,NA,pool,220,130,NA,17,
SANONO,25-Jul-18,75.1,NA,pool,90,45,NA,10,side pool
SANONO,25-Jul-18,76.3,NA,riffle,70,80,15,10,
SANONO,25-Jul-18,77,NA,pool,100,90,NA,10,
SANONO,25-Jul-18,77.9,NA,riffle,170,85,40,8,
SANONO,25-Jul-18,79.7,6,pool,UNIT,UNIT,UNIT,UNIT,
SANONO,25-Jul-18,84.1,NA,riffle,70,5,5,5,
SANONO,25-Jul-18,84.6,NA,pool,115,50,NA,16,
SANONO,25-Jul-18,85.5,NA,riffle,50,10,5,8,
SANONO,25-Jul-18,85.9,NA,pool,85,60,NA,12,
SANONO,25-Jul-18,86.9,NA,riffle,325,80,5,10,
SANONO,25-Jul-18,89.9,NA,pool,135,120,NA,15,
SANONO,25-Jul-18,90,NA,riffle,160,80,5,5,
SANONO,25-Jul-18,92.2,NA,glide,230,50,25,8,
SANONO,25-Jul-18,93,NA,pool,340,180,NA,29,side pool
SANONO,25-Jul-18,94.5,NA,riffle,560,105,5,8,
SANONO,25-Jul-18,99.5,NA,glide,50,85,40,8,
SANROQ,13-Jul-18,0,1,pool,UNIT,UNIT,UNIT,UNIT,
SANROQ,13-Jul-18,4.5,NA,cascade,30,25,10,35,
SANROQ,13-Jul-18,4.8,NA,glide,280,105,80,21,
SANROQ,13-Jul-18,7.2,2,riffle,UNIT,UNIT,UNIT,UNIT,
SANROQ,13-Jul-18,12.8,NA,pool,125,160,NA,14,
SANROQ,13-Jul-18,13.9,NA,pool,140,120,NA,18,
SANROQ,13-Jul-18,15.4,NA,riffle,50,30,10,13,
SANROQ,13-Jul-18,16.1,NA,glide,100,95,55,10,
SANROQ,13-Jul-18,17.1,3,pool,UNIT,UNIT,UNIT,UNIT,
SANROQ,13-Jul-18,19.8,NA,glide,150,120,30,15,
SANROQ,13-Jul-18,21,NA,pool,370,170,NA,20,
SANROQ,13-Jul-18,22.4,NA,pool,210,120,NA,15,
SANROQ,13-Jul-18,22.7,NA,pool,160,130,NA,25,(22.7 is filled with rocks) 22.7-24.7 is a right channel
SANROQ,13-Jul-18,23.7,NA,riffle,340,60,5,5,trickle
SANROQ,13-Jul-18,24.7,NA,pool,170,105,NA,29,
SANROQ,13-Jul-18,28.2,4,pool,UNIT,UNIT,UNIT,UNIT,
SANROQ,13-Jul-18,22.7,NA,riffle,90,60,25,5,22.7-27.9 is a left channel
SANROQ,13-Jul-18,21.6,NA,pool,110,65,NA,1,side pool
SANROQ,13-Jul-18,23.1,NA,cascade,20,20,10,35,
SANROQ,13-Jul-18,23.5,NA,pool,105,75,NA,18,
SANROQ,13-Jul-18,24.6,NA,riffle,100,120,20,8,
SANROQ,13-Jul-18,25.7,NA,pool,380,250,NA,15,
SANROQ,13-Jul-18,27.9,NA,pool,390,175,NA,68,
SANROQ,13-Jul-18,28.5,NA,pool,175,130,NA,22,
SANROQ,13-Jul-18,29.9,5,riffle,UNIT,UNIT,UNIT,UNIT,
SANROQ,13-Jul-18,34,NA,pool,250,920,NA,36,
SANROQ,13-Jul-18,43.2,6,pool,UNIT,UNIT,UNIT,UNIT,
SANROQ,13-Jul-18,49.8,NA,pool,170,110,NA,25,
SANROQ,13-Jul-18,50.5,NA,glide,150,45,25,25,
SANROQ,13-Jul-18,52.1,NA,cascade,20,60,5,75,
SANROQ,13-Jul-18,49.5,NA,pool,160,130,NA,18,side pool; 49.5-52.6 is a side channel
SANROQ,13-Jul-18,51.6,NA,cascade,65,40,5,60,side cascade
SANROQ,13-Jul-18,52.6,NA,pool,180,120,NA,41,side pool
SANROQ,13-Jul-18,52.3,NA,pool,205,180,NA,40,
SANROQ,13-Jul-18,55.1,NA,glide,135,65,5,20,
SANROQ,13-Jul-18,56.5,NA,glide,225,105,40,20,
SANROQ,13-Jul-18,58.8,7,riffle,UNIT,UNIT,UNIT,UNIT,
SANROQ,13-Jul-18,60.4,NA,pool,170,300,NA,30,
SANROQ,13-Jul-18,61.9,NA,riffle,55,80,20,5,
SANROQ,13-Jul-18,62.4,NA,pool,320,240,NA,44,
SANROQ,13-Jul-18,64.7,8,riffle,UNIT,UNIT,UNIT,UNIT,
SANROQ,13-Jul-18,70.4,NA,pool,800,550,NA,130,
SANROQ,13-Jul-18,75.9,NA,cascade,130,30,3,65,
SANROQ,13-Jul-18,76.8,NA,glide,120,25,10,10,
SANROQ,13-Jul-18,78,NA,riffle,80,15,15,5,
SANROQ,13-Jul-18,78.3,NA,pool,360,7,NA,39,
SANROQ,13-Jul-18,85.3,NA,riffle,90,15,3,3,trickle
SANROQ,13-Jul-18,85.7,NA,underground,1040,NA,NA,NA,
SANROQ,13-Jul-18,96.1,NA,pool,680,400,NA,50,
SANYSI,17-Jul-18,0,1,pool,UNIT,UNIT,UNIT,UNIT,
SANYSI,17-Jul-18,1.1,NA,cascade,35,35,35,20,
SANYSI,17-Jul-18,1.3,NA,riffle,520,250,25,27,
SANYSI,17-Jul-18,6.5,NA,glide,140,155,50,21,
SANYSI,17-Jul-18,7.9,NA,riffle,270,90,35,10,
SANYSI,17-Jul-18,10.6,NA,pool,125,90,NA,28,
SANYSI,17-Jul-18,11.5,NA,cascade,25,45,25,25,
SANYSI,17-Jul-18,11.8,NA,riffle,450,110,35,20,
SANYSI,17-Jul-18,16.3,2,pool,UNIT,UNIT,UNIT,UNIT,
SANYSI,17-Jul-18,16.3,NA,pool,120,130,NA,20,side pool
SANYSI,17-Jul-18,17.7,NA,cascade,50,80,55,45,
SANYSI,17-Jul-18,18.7,3,riffle,UNIT,UNIT,UNIT,UNIT,
SANYSI,17-Jul-18,45.4,NA,pool,125,110,NA,28,45.4-47 is right channel
SANYSI,17-Jul-18,47,NA,cascade,65,25,10,100,
SANYSI,17-Jul-18,45.4,NA,pool,210,160,NA,32,45.4-47 is left channel
SANYSI,17-Jul-18,47,NA,cascade,65,30,15,85,
SANYSI,17-Jul-18,48.5,NA,riffle,1290,210,25,20,
SANYSI,17-Jul-18,50.7,NA,pool,160,200,NA,25,side pool
SANYSI,17-Jul-18,61.4,NA,pool,270,200,NA,40,
SANYSI,17-Jul-18,63.4,NA,riffle,380,95,20,20,
SANYSI,17-Jul-18,67.2,NA,pool,260,110,NA,20,
SANYSI,17-Jul-18,68.3,NA,riffle,60,40,10,10,
SANYSI,17-Jul-18,68.9,NA,cascade,45,20,20,25,
SANYSI,17-Jul-18,69.4,4,riffle,UNIT,UNIT,UNIT,UNIT,
SANYSI,17-Jul-18,89.4,NA,glide,530,110,100,20,
SANYSI,17-Jul-18,94.7,NA,riffle,150,90,30,26,trickle entering from right
SANYSI,17-Jul-18,96,NA,cascade,70,20,10,60,96-99.2 is left channel
SANYSI,17-Jul-18,96.9,NA,riffle,110,130,55,15,
SANYSI,17-Jul-18,98.2,NA,pool,180,135,NA,20,
SANYSI,17-Jul-18,99.2,NA,cascade,60,40,15,80,
SANYSI,17-Jul-18,96.5,NA,cascade,150,70,15,120,96.5-99.8 is right channel
SANYSI,17-Jul-18,98,NA,riffle,150,90,70,16,
SANYSI,17-Jul-18,99.8,NA,cascade,55,20,5,55,
